ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7b-5p,MIMAT0000063,ABCF1,23,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ABL1,25,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACACA,31,CLASH//Proteomics,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ASIC1,41,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACPP,55,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACTA1,58,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACTB,60,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACTG1,71,CLASH//Luciferase reporter assay//Reporter assay,15131085|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACTN4,81,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACVR1,90,Luciferase reporter assay//Microarray//qRT-PCR,22995917,Unspecified
hsa-let-7b-5p,MIMAT0000063,ADCY1,107,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ADH5,128,HITS-CLIP//PAR-CLIP,23313552|26701625|27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,AGL,178,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,JAG1,182,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,AHR,196,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,AK4,205,PAR-CLIP,23446348|20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,AKT2,208,Luciferase reporter assay//qRT-PCR//Western blot,25288334,Unspecified
hsa-let-7b-5p,MIMAT0000063,AMD1,262,HITS-CLIP,23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,AMPH,273,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SLC25A4,291,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,BIRC5,332,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,APRT,353,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,AQP6,363,PAR-CLIP,27292025,Unspecified
