proteome,phosphoproteome
TGFB1,SLC12A8
TMSB10,SLC12A8
CDKN1C,ESYT2
SPC25,ESYT2
CT45A6,ESYT2
DPY30,UHRF1BP1L
FAM168A,UHRF1BP1L
SUPT20H,UHRF1BP1L
GINS4,SHTN1
BANF1,SHTN1
PFDN1,ARHGAP10
MED28,ARHGAP10
GINS3,MEX3A
ITGB4,ILVBL
RPLP1,C1orf226
DCTPP1,C1orf226
JUND,PLEKHG3
ERH,PLEKHG3
NUSAP1,PLEKHG3
SPTY2D1,PLEKHG3
MMTAG2,PLEKHG3
KNSTRN,PLEKHG3
TAGLN2,PLEKHG3
RRP15,PLEKHG3
LSM7,FRMD3
PFDN6,BCLAF3
POLR2J,BCLAF3
MYCBP,BCLAF3
USP13,NBAS
LMO4,NBAS
CHRAC1,FAM234B
TTC3,SBNO1
RPS19,KRBA1
NUF2,ARHGEF35
SF3B6,FAM83G
LSM4,ZNF316
BRK1,ZNF316
CYHR1,ZNF316
DBI,SAC3D1
SCAPER,SAC3D1
WDR54,INSYN2B
ST13,ZSWIM8
HMMR,ZSWIM8
TIMM8A,SOBP
RFLNB,ZNF839
RAB19,FAM171A2
CLTB,FAM171A2
TPD52L2,PHF20L1
GTF2A2,PHF20L1
RPS17,
TXNIP,MYO9A
EIF1,MYO9A
RIOK3,SMIM1
RPLP2,SMIM1
POLDIP3,IQCJ-SCHIP1
RPP25,IQCJ-SCHIP1
RGS10,EIF3CL
LSM6,EIF3CL
STMN1,EIF3CL
CEP55,EIF3CL
CHAF1B,EIF3CL
TWSG1,EIF3CL
DNAJC8,HNRNPCL3
NCAPH,HNRNPCL3
LIG1,MCRIP1
CSPP1,NACA
ANXA8L1,NACA
RUNX3,NACA
GRPEL1,C11orf98
TEDC1,CNK3/IPCEF1
SNRPD2,AGPS
PFDN4,KIF2A
SLIRP,PDLIM1
MND1,MYO1C
NECAP1,MYO1C
ING5,SNAP23
HMCES,SNAP23
PCNA,SNAP23
PAIP2,AIP
KIF4A,ARVCF
RAC3,ARVCF
TTC12,ARVCF
S100A11,ARVCF
PPP1R14B,ARVCF
C2orf69,ARVCF
FAH,ARVCF
RANBP1,SMAP
SUPT4H1,SMAP
ADI1,AP3B1
NCAPD2,AP3B1
PTEN,AP3B1
PDZD11,APBB1
HSBP1,APBB1
GINS2,TNFRSF10A
EIF3J,CBX4
C8orf33,PGRMC1
S100A13,PGRMC1
UQCRB,PGRMC1
PRMT3,SUPT5H
MEX3D,SUPT5H
SKP1,SUPT5H
C1orf131,SUPT5H
QSOX1,DFFA
DCK,CLIC1
ELOB,EIF3F
MKI67,WWP2
TTC9C,WASL
SAPCD2,WASL
HELB,IPO5
PFDN2,EEF2K
KIF20A,EEF2K
FLYWCH2,IGF2BP3
SARNP,DNM1L
SRI,DNM1L
ANP32B,DNM1L
TRPM4,PIK3C2A
LCMT2,PIK3C2A
KLHL34,PIK3R2
MRPL12,MEIS1
TXN,ELL2
GTPBP10,HMGN4
LIN54,ZNF593
FABP5,BIN1
MRI1,BIN1
TMEM59,BIN1
EGLN2,BIN1
METTL1,KPNA3
NSMCE1,KPNA3
BTF3,BCL9
BASP1,BCL9
SRA1,BCL9
RPS10,BCL9
WDCP,LAD1
PCBD1,LAD1
BOLA2,CACNA1A
SURF2,CACNA1A
BABAM2,CACNA1A
CHTF18,CACNA1A
DUT,CACNA1A
WDSUB1,PITPNM1
FUS,PITPNM1
KHDRBS1,MPHOSPH10
GATAD2B,MPHOSPH10
CHTF8,MPHOSPH10
CIRBP,NOP56
ZC3H4,NOP56
N6AMT1,NOP56
CLP1,NOP56
SPAG7,SOX1
NDC80,DDX3X
BAG2,DDX3X
GPCPD1,DDX3X
MBD3,DDX3X
MTPN,DDX3X
MYL6,DDX3X
DHFR,DDX3X
RRM1,PODXL
TSPAN13,KPNA4
SMC2,NFIB
RPS13,NFIB
SPPL2A,NFIB
S100A4,ARID1A
ATOX1,ARID1A
RPP40,ARID1A
RADIL,ARID1A
ANAPC16,C2CD2L
TRIP13,TRAFD1
UBE2L3,TRAFD1
CACYBP,TRAFD1
GATAD2A,HSPB6
RBL1,CIT
OGFOD3,CIT
FAM83D,CIT
CBFB,CIT
HIRIP3,CIT
RPS12,CIT
EIF1B,CIT
TOM1L1,CIT
CDC45,COPE
UBE2C,COPE
DDB2,AP3D1
HDAC3,AP3D1
H1-3,CCS
RPL32,ABLIM1
UBP1,ABLIM1
C12orf57,ABLIM1
SF3B5,ABLIM1
UBR7,ABLIM1
TPD52,DVL1
PBDC1,DVL2
S100A2,CHD1
PPP1R18,CHD1
PXN,CHD1
DENND4A,CHD1
EEF1B2,CHD1
SNAP29,CHD2
ATAD5,CHD2
FAM89B,IRS4
SEPHS2,IRS4
NSUN6,IRS4
DLGAP5,EI24
KIF15,KMT2D
GLO1,KMT2D
RPL23A,KMT2D
SMC4,KMT2D
STIP1,KMT2D
UBAP2L,ITGB1BP1
NPM1,MAP2K7
NFATC4,MAP2K7
RSL1D1,PDCD5
URM1,PDCD5
COMMD6,SLC9A3R1
CHSY1,SLC9A3R1
HAX1,SLC9A3R1
WDHD1,SLC9A3R1
LIMD1,SLC9A3R1
HSF1,CHEK1
ASL,CHEK1
DNAJC9,NRP1
ANXA8,UNC13B
RPS21,BACH1
RNASEH2B,BACH1
UBFD1,BCKDK
MIX23,TAX1BP3
KIF14,IKBKB
EIF4H,RGS12
CDK1,RGS12
MSI1,RGS12
SH3KBP1,RGS12
R3HCC1,RGS12
SGTB,CASK
IFT172,CASK
CDK2AP1,CASK
SUB1,MYL12B
EBNA1BP2,CLGN
TRMT6,CLGN
RUSC1,CLGN
PKMYT1,PPP1R12A
DR1,PPP1R12A
RNF114,PPP1R12A
IGF2BP3,PPP1R12A
CPT1A,PPP1R12A
PSMG1,PPP1R12A
NCAPG,PPP1R12A
GGT7,PPP1R12A
SMYD4,PPP1R12A
SFN,PPP1R12A
EIF5A,PPP1R12A
ARRDC1,PPP1R12A
GNPNAT1,PPP1R12A
PTBP2,PPP1R12A
ARFGAP2,GAK
ZNF185,GAK
PTTG1,XPO1
SPATS2L,BTAF1
RPS15,BTAF1
MRPL53,BTAF1
MAPKAP1,ARHGEF10
HSP90AA1,ARHGEF10
APC,ARHGEF10
RPL30,ARHGEF10
USP22,ZNF609
RPL26,ZNF609
NAA80,ZNF609
H2BC21,ZNF609
C7orf50,ZNF609
CCNB2,ZNF609
NME2,ZNF609
RPL37A,ZNF609
CALM1,ZNF609
ZNF358,ZNF609
USF1,SEC16A
AKT2,SEC16A
GAMT,SEC16A
PPIAL4C,SEC16A
CD2AP,SEC16A
ATP5F1E,SEC16A
PPP1R11,SEC16A
NAGPA,SEC16A
NDUFA8,SEC16A
