all,upregulated,downregulated,unchanged
TGFB1,TGFB1,TMSB10,TTC3
TMSB10,CDKN1C,SPC25,RAB19
CDKN1C,SUPT20H,CT45A6,RUNX3
SPC25,ITGB4,DPY30,RAC3
CT45A6,CYHR1,FAM168A,PTEN
DPY30,SCAPER,GINS4,QSOX1
FAM168A,WDR54,BANF1,HELB
SUPT20H,TXNIP,PFDN1,TRPM4
GINS4,RIOK3,MED28,KLHL34
BANF1,LSM6,GINS3,MRI1
PFDN1,ANXA8L1,RPLP1,BABAM2
MED28,TEDC1,DCTPP1,WDSUB1
GINS3,TTC12,JUND,SPPL2A
ITGB4,C2orf69,ERH,H1-3
RPLP1,FAH,NUSAP1,S100A2
DCTPP1,SUPT4H1,SPTY2D1,NFATC4
JUND,DCK,MMTAG2,MSI1
ERH,ANP32B,KNSTRN,IFT172
NUSAP1,TXN,TAGLN2,CPT1A
SPTY2D1,GTPBP10,RRP15,GGT7
MMTAG2,LIN54,LSM7,NAA80
KNSTRN,TMEM59,PFDN6,ZNF358
TAGLN2,METTL1,POLR2J,PPIAL4C
RRP15,NSMCE1,MYCBP,USP40
LSM7,CHTF18,USP13,GAS6
PFDN6,FUS,LMO4,NOMO2
POLR2J,KHDRBS1,CHRAC1,H3-4
MYCBP,CHTF8,RPS19,CMBL
USP13,CLP1,NUF2,ISG20
LMO4,TSPAN13,SF3B6,MSRB2
CHRAC1,S100A4,LSM4,FN3KRP
TTC3,RPP40,BRK1,FOXO3
RPS19,RADIL,DBI,RBM15B
NUF2,OGFOD3,ST13,POLL
SF3B6,DDB2,HMMR,CDIPT
LSM4,HDAC3,TIMM8A,VANGL1
BRK1,FAM89B,RFLNB,TMEM67
CYHR1,SEPHS2,CLTB,MAGED1
DBI,CHSY1,TPD52L2,RNF170
SCAPER,HAX1,GTF2A2,JUNB
WDR54,HSF1,RPS17,POMT1
ST13,DNAJC9,EIF1,DGKQ
HMMR,ANXA8,RPLP2,NME6
TIMM8A,UBFD1,POLDIP3,DNTTIP1
RFLNB,R3HCC1,RPP25,METTL15
RAB19,SUB1,RGS10,BBS1
CLTB,IGF2BP3,STMN1,LPCAT1
TPD52L2,SMYD4,CEP55,POMGNT2
GTF2A2,MAPKAP1,CHAF1B,UPRT
RPS17,H2BC21,TWSG1,LGALS3
TXNIP,USF1,DNAJC8,TAF5L
EIF1,GAMT,NCAPH,UQCR11
RIOK3,NAGPA,LIG1,DNAJC17
RPLP2,MAP3K2,CSPP1,PHYKPL
POLDIP3,KDM3B,GRPEL1,SMC1B
RPP25,CHKB,SNRPD2,ALG3
RGS10,RPS11,PFDN4,ALKBH5
LSM6,H4C1,SLIRP,PLTP
STMN1,MT-ATP8,MND1,PASK
CEP55,DEF6,NECAP1,UHRF2
CHAF1B,UROD,ING5,STK24
TWSG1,TRAF6,HMCES,ATAT1
DNAJC8,NCOR2,PCNA,DCAF5
NCAPH,RBMX,PAIP2,PHF2
LIG1,SNRPA,KIF4A,FCHSD2
CSPP1,UBTF,S100A11,APLP2
ANXA8L1,SRM,PPP1R14B,RTTN
RUNX3,TOP2B,RANBP1,TOMM7
GRPEL1,MRPS24,ADI1,ACP6
TEDC1,RPP14,NCAPD2,SYVN1
SNRPD2,RPL10,PDZD11,PPP1R3G
PFDN4,SMAD3,HSBP1,CHD6
SLIRP,WASL,GINS2,BTD
MND1,TRIM24,EIF3J,AMZ2
NECAP1,PDCD4,C8orf33,DECR2
ING5,HNRNPA0,S100A13,GSTM4
HMCES,PFN1,UQCRB,PIGQ
PCNA,CCNK,PRMT3,SNRPF
PAIP2,GSTZ1,MEX3D,BBS7
KIF4A,COPS3,SKP1,H1-2
RAC3,UTP15,C1orf131,LOXL2
TTC12,SSRP1,ELOB,ULK1
S100A11,YWHAQ,MKI67,MRPS17
PPP1R14B,ANAPC2,TTC9C,COMTD1
C2orf69,TIAL1,SAPCD2,SRXN1
FAH,NT5DC2,PFDN2,NAB1
RANBP1,NCL,KIF20A,KBTBD4
SUPT4H1,ABCD4,FLYWCH2,RNF167
ADI1,ACTL6A,SARNP,PRR14
NCAPD2,PSMB1,SRI,OSCP1
PTEN,CASP6,LCMT2,VPS26C
PDZD11,DHRS11,MRPL12,RMND5A
HSBP1,MRPL9,FABP5,H3-3A
GINS2,CUL1,EGLN2,RHBDD2
EIF3J,MCM5,BTF3,RTN4IP1
C8orf33,SRR,BASP1,RABL2A
S100A13,PPIH,SRA1,FCHSD1
UQCRB,WDR82,RPS10,FUNDC1
PRMT3,SNAPC4,WDCP,OSBP2
MEX3D,NUDT3,PCBD1,PHAF1
SKP1,PRDX6,BOLA2,HIRA
C1orf131,PSMB2,SURF2,MAPKAPK2
QSOX1,UTP14A,DUT,LRIG2
DCK,GFUS,GATAD2B,PEMT
ELOB,MTURN,CIRBP,COL18A1
MKI67,ALDH16A1,ZC3H4,MAN2C1
TTC9C,PLA2G15,N6AMT1,DOLPP1
SAPCD2,SUPT16H,SPAG7,WRAP73
HELB,PSMD10,NDC80,H3C15
PFDN2,PSMA3,BAG2,WDR81
KIF20A,NUDT12,GPCPD1,NR2C2
FLYWCH2,MANBA,MBD3,MPC2
SARNP,ITPA,MTPN,INO80
SRI,ATAD3B,MYL6,PAAT
ANP32B,BAG1,DHFR,ADCY7
TRPM4,HNRNPA1,RRM1,OTUD1
LCMT2,PARN,SMC2,TRAF1
KLHL34,HCFC1,RPS13,DHX32
MRPL12,HNRNPA2B1,ATOX1,RNF31
TXN,GLA,ANAPC16,SLC12A7
GTPBP10,FAM102B,TRIP13,SYPL1
LIN54,RALYL,UBE2L3,UBAC1
FABP5,TXNL1,CACYBP,CYBRD1
MRI1,DERA,GATAD2A,PPCDC
TMEM59,ACSL1,RBL1,MFSD12
EGLN2,POP1,FAM83D,FAM169A
METTL1,GSK3A,CBFB,ABHD16A
NSMCE1,ZNF384,HIRIP3,KAT14
BTF3,ARID2,RPS12,LDB1
BASP1,NISCH,EIF1B,RLF
SRA1,PSMB3,TOM1L1,DAZAP2
RPS10,MRPS31,CDC45,USE1
WDCP,SCO1,UBE2C,PBX2
PCBD1,RPL7A,RPL32,DOP1B
BOLA2,FASTKD1,UBP1,MYF6
SURF2,H3-2,C12orf57,GCDH
BABAM2,RPL18A,SF3B5,IPO13
CHTF18,COPS2,UBR7,CRYM
DUT,MEMO1,TPD52,BET1
WDSUB1,H3C1,PBDC1,CENPK
FUS,RNF214,PPP1R18,CEP170B
KHDRBS1,MRPL27,PXN,SAMD4B
GATAD2B,ILF3,DENND4A,CAMK1D
CHTF8,TXNDC17,EEF1B2,FBXO6
CIRBP,HNRNPL,SNAP29,ITPR1
ZC3H4,RALY,ATAD5,PCBP3
N6AMT1,MRPL11,NSUN6,ACAD8
CLP1,RPP38,DLGAP5,ALS2
SPAG7,RFX1,KIF15,BCS1L
NDC80,ILF2,GLO1,GTF2H2
BAG2,DIAPH1,RPL23A,CACNA2D1
GPCPD1,BRD2,SMC4,PCGF5
MBD3,PSMB4,STIP1,SMUG1
MTPN,MSH3,UBAP2L,PPT2
MYL6,ABCF3,NPM1,KCTD21
DHFR,AMDHD2,RSL1D1,VRK2
RRM1,NAB2,URM1,DYNLT2B
TSPAN13,SRP14,COMMD6,KIAA1109
SMC2,PTBP1,WDHD1,INTS9
RPS13,MTAP,LIMD1,PHRF1
SPPL2A,THG1L,ASL,DSCC1
S100A4,GOT1,RPS21,GCSH
ATOX1,HNRNPK,RNASEH2B,FLYWCH1
RPP40,DNASE2,MIX23,HSPB2
RADIL,DBNL,KIF14,EOGT
ANAPC16,RBM14,EIF4H,RETREG2
TRIP13,MT2A,CDK1,CTSZ
UBE2L3,NAA35,SH3KBP1,CLCN7
CACYBP,COMMD2,SGTB,COQ8A
GATAD2A,SF3A1,CDK2AP1,GPR180
RBL1,TALDO1,EBNA1BP2,TRPT1
OGFOD3,PSMA1,TRMT6,ZDHHC13
FAM83D,HK2,RUSC1,TTPAL
CBFB,SNRPA1,PKMYT1,ICMT
HIRIP3,GAPDH,DR1,PIP4K2A
RPS12,POMK,RNF114,NTHL1
EIF1B,HPRT1,PSMG1,PPIP5K1
TOM1L1,HNRNPDL,NCAPG,H2AZ1
CDC45,DDT,SFN,KIAA1549L
UBE2C,BBX,EIF5A,MT-ND4
DDB2,PGD,ARRDC1,AP5S1
HDAC3,MATR3,GNPNAT1,NHEJ1
H1-3,BDH1,PTBP2,RAB20
RPL32,RPA3,ARFGAP2,DNAJA4
UBP1,CDK16,ZNF185,ALG2
C12orf57,GTF2I,PTTG1,MAPK12
SF3B5,MTHFSD,SPATS2L,CRADD
UBR7,EGLN1,RPS15,STIM2
TPD52,HSPA6,MRPL53,IMPACT
PBDC1,DNAJB2,HSP90AA1,SMARCD1
S100A2,NR3C1,APC,TBCEL
PPP1R18,NUTF2,RPL30,CSGALNACT2
