Proteomes,Phosphoroteomes,Both
A2M,ABCA2,AAGAB
AAAS,ABLIM3,AAK1
AACS,ACBD4,AAMDC
AAMP,ACKR3,AATF
AAR2,ADAM22,ABCC1
AARS1,ADGRL1,ABCC4
AARS2,AFAP1L1,ABCF1
AARSD1,AFAP1L2,ABCF3
AASDH,AKAP5,ABI1
AASDHPPT,AMBRA1,ABI2
AASS,AMER1,ABL1
ABAT,AMFR,ABL2
ABCA3,AMOTL1,ABLIM1
ABCB10,ANKRD11,ABR
ABCB4,ANKRD12,ACACA
ABCB6,ANKRD26,ACAP2
ABCB7,ANKS3,ACBD5
ABCB8,ANKS6,ACD
ABCC5,ANO6,ACIN1
ABCD3,ANO8,ACLY
ABCD4,ANTXR1,ACO2
ABCE1,AP4B1,ACTB
ABCF2,APBA1,ACTL6A
ABHD10,APBA2,ACTN4
ABHD11,APC2,ADAM17
ABHD12,APLF,ADAM9
ABHD13,ARHGAP11A,ADAR
ABHD14B,ARHGAP23,ADARB1
ABHD16A,ARHGAP25,ADCY6
ABHD17B,ARHGAP40,ADD1
ABHD18,ARHGEF26,ADD2
ABHD5,ARHGEF35,ADD3
ABI3,ARNT,ADGRE5
ABRACL,ASB3,ADGRG6
ABRAXAS2,ASXL1,ADGRL2
ABT1,ASXL2,ADNP
ABTB1,ATAD2B,ADRM1
ACAA1,ATP7B,AEBP2
ACAA2,ATP8A2,AFAP1
ACAD10,ATRIP,AFDN
ACAD11,ATXN7L3,AFF1
ACAD8,ATXN7L3B,AFF4
ACAD9,AXIN1,AFTPH
ACADM,BAHD1,AGAP2
ACADS,BAIAP2L2,AGAP3
ACADSB,BAP1,AGFG1
ACADVL,BAZ2B,AGO2
ACAT1,BBLN,AGPS
ACAT2,BBS10,AGTRAP
ACBD3,BCL11A,AHCTF1
ACBD6,BCL3,AHDC1
ACO1,BCL6,AHNAK
ACOT1,BCL9,AHNAK2
ACOT13,BCLAF3,AHSG
ACOT7,BICC1,AIDA
ACOT8,BICD1,AIFM1
ACOT9,BICRA,AIP
ACOX1,BMI1,AJUBA
ACOX3,BNIP3,AKAP1
ACP1,BORA,AKAP10
ACP2,BRCA1,AKAP11
ACP6,BRF1,AKAP12
ACSF2,BRIP1,AKAP13
ACSF3,BRME1,AKAP17A
ACSL1,BRMS1,AKAP2
ACSL3,BRWD1,AKAP8
ACSL4,C11orf52,AKAP8L
ACSS2,C14orf93,AKAP9
ACSS3,C16orf72,AKT1
ACTBL2,C16orf87,AKT1S1
ACTC1,C19orf54,ALAD
ACTG1,C1orf174,ALDOA
ACTN1,C1orf198,ALG3
ACTR10,C1orf226,ALKBH5
ACTR1A,C1orf52,ALS2
ACTR1B,C2CD2,AMOTL2
ACTR2,C2CD3,AMPD2
